physicalid,full_stree,ntaname,boro_name,count,count_per_100ft,with_nta_name
86033,SCUDDER AVE,,,0.0,0.0,
98910,GOWER ST,,,0.0,0.0,
85463,VAN BUREN ST,Bedford,Brooklyn,1.0,0.05725429419593656,"VAN BUREN ST, Bedford, Brooklyn"
93648,N  FIFTH ST,,,0.0,0.0,
27937,W  146 ST,,,0.0,0.0,
58803,PACIFIC ST,,,0.0,0.0,
147062,HARDING XW,,,0.0,0.0,
24122,118 AVE,,,0.0,0.0,
97489,ENRIGHT RD,,,0.0,0.0,
31683,VANHORN ST,,,0.0,0.0,
26649,69 ST,,,0.0,0.0,
1702,GRAND ST,,,0.0,0.0,
44138,E  27 ST,,,0.0,0.0,
74480,CROSS BAY BLVD,,,0.0,0.0,
44507,MANHATTAN AVE,,,0.0,0.0,
104991,SHARROTS LN,,,0.0,0.0,
183604,DAVIDSON AVE,,,0.0,0.0,
24704,34 AVE,,,0.0,0.0,
62668,BRONX RIVR AVE,,,0.0,0.0,
29947,KENT ST,,,0.0,0.0,
102626,85 ST,,,0.0,0.0,
28569,WINCHESTER BLVD,Bellerose,Queens,1.0,0.21958399769682718,"WINCHESTER BLVD, Bellerose, Queens"
69353,205 ST,,,0.0,0.0,
17260,LIBERTY AVE,South Ozone Park,Queens,1.0,0.4001718256692291,"LIBERTY AVE, South Ozone Park, Queens"
75475,FLATBUSH AVE  X,,,0.0,0.0,
97005,61 RD,,,0.0,0.0,
52349,GREELEY AVE,,,0.0,0.0,
62123,TELLER AVE,,,0.0,0.0,
91107,BASSETT AVE,,,0.0,0.0,
22666,BROADWAY,,,0.0,0.0,
73916,CRESCENT TER,,,0.0,0.0,
55892,MCCLEAN AVE,,,0.0,0.0,
43258,ATLANTIC AVE,,,0.0,0.0,
4416,146 ST,,,0.0,0.0,
69935,LONGWOOD AVE,,,0.0,0.0,
122593,HUGUENOT AVE,,,0.0,0.0,
5940,HILLSIDE AVE,Jamaica Estates-Holliswood,Queens,1.0,0.22547873495329768,"HILLSIDE AVE, Jamaica Estates-Holliswood, Queens"
32106,LAWRENCE ST,Queensboro Hill,Queens,1.0,0.1472965061517467,"LAWRENCE ST, Queensboro Hill, Queens"
66728,E  33 ST,,,0.0,0.0,
17206,LIBERTY AVE,,,0.0,0.0,
30130,GASKELL RD,,,0.0,0.0,
105265,STEUBEN ST,,,0.0,0.0,
1731,W  42 ST,Clinton,Manhattan,54.0,2.7550490038874464,"W  42 ST, Clinton, Manhattan"
18910,184 PL,,,0.0,0.0,
94615,OLGA PL,,,0.0,0.0,
2834,BROADWAY,,,0.0,0.0,
46743,CORTELYOU RD,,,0.0,0.0,
90385,CLERMONT AVE,,,0.0,0.0,
170632,ALLERTON AVE,,,0.0,0.0,
52591,E  179 ST,,,0.0,0.0,
70402,FOSTER AVE,,,0.0,0.0,
149424,OUR LADY OF SOLACE PL,,,0.0,0.0,
47646,KINGSHIGWY,,,0.0,0.0,
179905,W  95 ST,,,0.0,0.0,
44231,AVE V,,,0.0,0.0,
105407,LERER LN,,,0.0,0.0,
101370,LIPPMAN ARC,,,0.0,0.0,
59527,SAINT ANN'S AVE,,,0.0,0.0,
103089,GIPSON ST,,,0.0,0.0,
17636,LEWIS BLVD,,,0.0,0.0,
74678,VAN SICLEN AVE,,,0.0,0.0,
89872,171 ST,,,0.0,0.0,
6617,182 ST,,,0.0,0.0,
62954,BARD AVE,New Brighton-Silver Lake,Staten Island,1.0,0.13266699717729452,"BARD AVE, New Brighton-Silver Lake, Staten Island"
166165,JFK TERMINAL 5 ACCESS ROAD,,,0.0,0.0,
54117,RICHMOND HILL RD,,,0.0,0.0,
43103,77 ST,,,0.0,0.0,
48975,GARVEY BLVD,,,0.0,0.0,
6597,173 ST,,,0.0,0.0,
101162,115 RD,,,0.0,0.0,
84357,104 ST,,,0.0,0.0,
33833,13 AVE,,,0.0,0.0,
49898,GILES PL,,,0.0,0.0,
39053,UNION PL,,,0.0,0.0,
90185,MC GUINNESS BL  S,,,0.0,0.0,
34847,59 AVE,,,0.0,0.0,
96852,E  177 ST,,,0.0,0.0,
86579,WARREN ST,,,0.0,0.0,
99990,101 ST,,,0.0,0.0,
65421,FORT HAMILTN PKWY,,,0.0,0.0,
38564,E  SEVENTH ST,Ocean Parkway South,Brooklyn,2.0,0.09432833704358945,"E  SEVENTH ST, Ocean Parkway South, Brooklyn"
48405,LEWIS AVE,,,0.0,0.0,
83824,ELBERTSON ST,,,0.0,0.0,
156824,ALTAMOUNT ST,,,0.0,0.0,
31337,255 ST,Douglas Manor-Douglaston-Little Neck,Queens,3.0,0.3627312475485984,"255 ST, Douglas Manor-Douglaston-Little Neck, Queens"
83158,205 ST,,,0.0,0.0,
60787,CATHERINE ST,,,0.0,0.0,
94679,BARNES AVE,,,0.0,0.0,
26495,COOPER AVE,,,0.0,0.0,
167378,UNNAMED ST,,,0.0,0.0,
132205,48 ST,,,0.0,0.0,
61959,WILLOWBROK RD,,,0.0,0.0,
53532,HAMPTON GREENS,,,0.0,0.0,
